id,value
Finance|Business Services|FinTech Acquisition Corp. V Warrant(FTCVW)(0.000B),FTCVW
Finance|Business Services|FirstMark Horizon Acquisition Corp. Class A Common Stock(FMAC)(0.600B),FMAC
Finance|Business Services|Foley Trasimene Acquisition Corp. Class A CommonStock(WPF)(1.421B),WPF
Finance|Business Services|Foley Trasimene Acquisition Corp. II Class A Common Stock(BFT)(3.106B),BFT
Finance|Business Services|Foresight Acquisition Corp. Units(FOREU)(0.000B),FOREU
Finance|Business Services|Forest Road Acquisition Corp. Class A Common Stock(FRX)(0.459B),FRX
Finance|Business Services|Fortistar Sustainable Solutions Corp. Unit(FSSIU)(0.000B),FSSIU
Finance|Business Services|Fortress Value Acquisition Corp. II Class A Common Stock(FAII)(0.517B),FAII
Finance|Business Services|Forum Merger III Corporation Class A Common stock(FIII)(0.380B),FIII
Finance|Business Services|Forum Merger III Corporation Units(FIIIU)(0.000B),FIIIU
Finance|Business Services|Forum Merger III Corporation Warrant(FIIIW)(0.000B),FIIIW
Finance|Business Services|FoxWayne Enterprises Acquisition Corp. Unit(FOXWU)(0.000B),FOXWU
Finance|Business Services|Frazier Lifesciences Acquisition Corporation Class A Ordinary Shares(FLAC)(0.186B),FLAC
Finance|Business Services|Frazier Lifesciences Acquisition Corporation Unit(FLACU)(0.000B),FLACU
Finance|Business Services|Frazier Lifesciences Acquisition Corporation Warrant(FLACW)(0.000B),FLACW
Finance|Business Services|Fusion Acquisition Corp. Class A Common Stock(FUSE)(0.496B),FUSE
Finance|Business Services|GO Acquisition Corp. Class A Common Stock(GOAC)(0.762B),GOAC
Finance|Business Services|GS Acquisition Holdings Corp II Class A Common Stock(GSAH)(1.312B),GSAH
Finance|Business Services|Galileo Acquisition Corp. Ordinary Shares(GLEO)(0.182B),GLEO
Finance|Business Services|Gaming & Hospitality Acquisition Corp. Unit(GHACU)(0.000B),GHACU
Finance|Business Services|Genesis Park Acquisition Corp. Class A Ordinary Shares(GNPK)(0.000B),GNPK
Finance|Business Services|GigCapital2 Inc. Common Stock(GIX)(0.221B),GIX
Finance|Business Services|GigCapital4 Inc. Unit(GIGGU)(0.000B),GIGGU
Finance|Business Services|Global Partner Acquisition Corp II Unit(GPACU)(0.000B),GPACU
Finance|Business Services|Global Synergy Acquisition Corp. Units(GSAQU)(0.000B),GSAQU
Finance|Business Services|Globis Acquisition Corp. Unit(GLAQU)(0.000B),GLAQU
Finance|Business Services|Globis Acquisition Corp. Warrant(GLAQW)(0.000B),GLAQW
Finance|Business Services|Globis Acquisition Corp. common stock(GLAQ)(0.000B),GLAQ
Finance|Business Services|Goal Acquisitions Corp. Unit(PUCKU)(0.000B),PUCKU
Finance|Business Services|Golden Falcon Acquisition Corp. Class A Common Stock(GFX)(0.000B),GFX
Finance|Business Services|Good Works Acquisition Corp. Common Stock(GWAC)(0.222B),GWAC
Finance|Business Services|Good Works Acquisition Corp. Warrant(GWACW)(0.000B),GWACW
Finance|Business Services|Gores Holdings V Inc. Common stock(GRSV)(0.712B),GRSV
Finance|Business Services|Gores Holdings V Inc. Unit(GRSVU)(0.000B),GRSVU
Finance|Business Services|Gores Holdings V Inc. Warrant(GRSVW)(0.000B),GRSVW
Finance|Business Services|Gores Holdings VI Inc. Class A Common Stock(GHVI)(0.861B),GHVI
Finance|Business Services|Gores Holdings VI Inc. Warrant(GHVIW)(0.000B),GHVIW
Finance|Business Services|Gores Metropoulos II Inc. Unit(GMIIU)(0.000B),GMIIU
Finance|Business Services|Greencity Acquisition Corporation Ordinary Shares(GRCY)(0.054B),GRCY
Finance|Business Services|Greencity Acquisition Corporation Unit(GRCYU)(0.000B),GRCYU
Finance|Business Services|Greencity Acquisition Corporation Warrants(GRCYW)(0.000B),GRCYW
Finance|Business Services|Greenrose Acquisition Corp. Common Stock(GNRS)(0.231B),GNRS
Finance|Business Services|Greenrose Acquisition Corp. Unit(GNRSU)(0.000B),GNRSU
Finance|Business Services|Greenrose Acquisition Corp. Warrant(GNRSW)(0.000B),GNRSW
Finance|Business Services|Group Nine Acquisition Corp. Unit(GNACU)(0.000B),GNACU
Finance|Business Services|Growth Capital Acquisition Corp. Unit(GCACU)(0.000B),GCACU
Finance|Business Services|H.I.G. Acquisition Corp. Class A Ordinary Shares(HIGA)(0.000B),HIGA
Finance|Business Services|HPX Corp. Class A Ordinary Shares(HPX)(0.331B),HPX
Finance|Business Services|Hamilton Lane Alliance Holdings I Inc. Unit(HLAHU)(0.000B),HLAHU
Finance|Business Services|Health Assurance Acquisition Corp. Class A Common Stock(HAAC)(0.806B),HAAC
Finance|Business Services|Health Assurance Acquisition Corp. SAIL Securities(HAACU)(0.000B),HAACU
Finance|Business Services|Health Assurance Acquisition Corp. Warrants(HAACW)(0.000B),HAACW
Finance|Business Services|Health Sciences Acquisitions Corporation 2 Ordinary Shares(HSAQ)(0.281B),HSAQ
Finance|Business Services|HealthCor Catalio Acquisition Corp. Class A Ordinary Shares(HCAQ)(0.278B),HCAQ
Finance|Business Services|Healthcare Capital Corp. Unit(HCCCU)(0.000B),HCCCU
Finance|Business Services|Healthcare Services Acquisition Corporation Class A Common Stock(HCAR)(0.000B),HCAR
Finance|Business Services|Healthcare Services Acquisition Corporation Unit(HCARU)(0.000B),HCARU
Finance|Business Services|Healthcare Services Acquisition Corporation Warrant(HCARW)(0.000B),HCARW
